timestamp,seconds
7/10/2015 14:24,564
7/10/2015 14:38,730
7/10/2015 14:48,770
7/10/2015 15:03,910
7/10/2015 15:22,1035
7/10/2015 15:32,1065
7/10/2015 15:42,953
7/10/2015 15:52,1005
7/10/2015 16:02,996
7/10/2015 16:12,901
7/10/2015 16:22,939
7/10/2015 16:32,988
7/10/2015 16:42,1020
7/10/2015 16:52,876
7/10/2015 17:02,870
7/10/2015 17:12,809
7/10/2015 17:22,884
7/10/2015 17:32,926
7/10/2015 17:42,829
7/10/2015 18:02,712
7/10/2015 18:12,624
7/10/2015 18:22,632
7/10/2015 18:32,596
7/10/2015 18:42,510
7/10/2015 18:52,526
7/10/2015 19:32,99
7/10/2015 19:42,85
7/10/2015 20:02,85
7/10/2015 20:12,87
7/10/2015 20:22,93
7/10/2015 20:42,57
7/10/2015 21:32,101
7/11/2015 10:10,177
7/11/2015 10:30,221
7/11/2015 11:00,332
7/11/2015 11:10,338
7/11/2015 11:20,263
7/11/2015 11:30,304
7/11/2015 11:40,358
7/11/2015 11:50,385
7/11/2015 12:00,397
7/11/2015 12:10,426
7/11/2015 12:20,461
7/11/2015 12:28,418
7/11/2015 12:38,448
7/11/2015 12:43,432
7/11/2015 12:53,416
7/11/2015 12:57,425
7/11/2015 13:07,439
7/11/2015 13:09,423
7/11/2015 13:19,370
7/11/2015 13:29,404
7/11/2015 13:39,387
7/11/2015 14:41,185
7/11/2015 15:01,184
7/11/2015 16:53,104
7/11/2015 17:02,108
7/11/2015 17:13,121
7/11/2015 17:23,120
7/11/2015 17:33,127
7/11/2015 18:23,52
7/12/2015 10:56,93
7/12/2015 12:36,151
7/12/2015 12:46,161
7/12/2015 12:56,160
7/12/2015 13:36,177
7/12/2015 15:26,193
7/12/2015 19:13,119
7/13/2015 9:15,143
7/13/2015 9:45,151
7/13/2015 12:07,138
7/13/2015 12:37,143
7/13/2015 12:47,146
7/13/2015 14:37,173
7/13/2015 15:27,226
7/13/2015 15:57,206
7/13/2015 16:07,243
7/13/2015 16:27,238
7/13/2015 16:47,294
7/13/2015 17:07,226
7/13/2015 17:17,209
7/13/2015 17:57,222
7/13/2015 18:06,136
7/13/2015 18:46,129
7/13/2015 18:56,133
7/14/2015 9:10,182
7/14/2015 9:40,253
7/14/2015 9:50,218
7/14/2015 10:10,216
7/14/2015 10:20,203
7/14/2015 13:11,143
7/14/2015 14:01,103
7/14/2015 14:41,162
7/14/2015 14:51,180
7/14/2015 15:01,223
7/14/2015 15:11,282
7/14/2015 15:21,262
7/14/2015 15:51,289
7/14/2015 16:01,260
7/14/2015 16:09,271
7/14/2015 16:19,248
7/14/2015 16:25,234
7/14/2015 17:05,309
7/14/2015 17:07,319
7/14/2015 17:27,266
7/14/2015 17:57,207
7/14/2015 18:17,198
7/14/2015 18:47,223
7/14/2015 18:57,250
7/14/2015 19:17,193
7/15/2015 9:37,144
7/15/2015 11:37,121
7/15/2015 12:54,104
7/15/2015 14:54,161
7/15/2015 15:34,178
7/15/2015 16:14,161
7/15/2015 16:54,204
7/15/2015 17:04,195
7/15/2015 17:24,189
7/15/2015 17:44,214
7/15/2015 18:04,204
7/15/2015 18:34,220
7/15/2015 18:44,219
7/16/2015 11:44,154
7/16/2015 14:19,118
7/16/2015 14:29,124
7/16/2015 14:59,174
7/16/2015 15:09,232
7/16/2015 15:19,316
7/16/2015 15:29,340
7/16/2015 15:39,398
7/16/2015 15:49,401
7/16/2015 15:50,392
7/16/2015 16:09,349
7/16/2015 16:29,388
7/16/2015 16:39,345
7/16/2015 16:49,363
7/16/2015 16:59,516
7/16/2015 17:09,460
7/16/2015 17:19,411
7/16/2015 17:29,413
7/16/2015 17:39,331
7/16/2015 17:49,367
7/16/2015 17:59,330
7/16/2015 18:09,288
7/16/2015 18:19,293
7/16/2015 18:59,225
7/16/2015 19:19,226
7/16/2015 19:29,200
7/16/2015 19:49,203
7/16/2015 20:09,197
7/17/2015 18:11,1185
7/17/2015 18:21,1081
7/17/2015 18:31,1174
7/17/2015 18:45,1336
7/17/2015 18:55,1174
7/17/2015 19:05,839
7/17/2015 19:15,657
7/17/2015 19:25,507
7/17/2015 19:35,274
7/17/2015 19:45,241
7/17/2015 19:55,187
7/17/2015 20:05,165
7/17/2015 20:25,86
7/17/2015 20:55,93
7/18/2015 3:56,57
7/18/2015 4:56,93
7/18/2015 10:06,131
7/18/2015 10:16,123
7/18/2015 11:26,109
7/18/2015 11:46,118
7/18/2015 11:56,128
7/18/2015 12:36,246
7/18/2015 12:46,231
7/18/2015 13:46,309
7/18/2015 14:36,217
7/18/2015 16:26,87
7/18/2015 16:56,85
7/18/2015 17:16,79
7/18/2015 18:56,73
7/18/2015 19:16,92
7/19/2015 10:53,97
7/19/2015 11:25,96
7/19/2015 12:35,172
7/19/2015 12:45,179
7/19/2015 13:05,178
7/19/2015 13:25,183
7/19/2015 13:45,150
7/19/2015 14:55,174
7/19/2015 15:45,166
7/19/2015 16:35,161
7/19/2015 16:45,151
7/19/2015 16:55,169
7/20/2015 6:05,94
7/20/2015 6:15,99
7/20/2015 7:55,134
7/20/2015 9:55,152
7/20/2015 10:15,153
7/20/2015 10:55,132
7/20/2015 11:35,134
7/20/2015 11:51,141
7/21/2015 0:50,23
7/21/2015 1:00,21
7/21/2015 1:10,95
7/21/2015 1:20,90
7/21/2015 1:50,89
7/21/2015 3:00,90
7/21/2015 3:10,103
7/21/2015 3:30,67
7/21/2015 4:30,24
7/21/2015 4:40,53
7/21/2015 9:00,197
7/21/2015 9:10,202
7/21/2015 11:20,120
7/21/2015 13:20,139
7/21/2015 13:30,215
7/21/2015 13:40,196
7/21/2015 14:10,229
7/21/2015 14:20,173
7/21/2015 14:40,178
7/21/2015 14:50,198
7/21/2015 15:00,192
7/21/2015 15:30,316
7/21/2015 15:50,263
7/21/2015 16:00,250
7/21/2015 16:20,237
7/21/2015 16:30,302
7/21/2015 16:40,292
7/21/2015 17:00,318
7/21/2015 17:10,294
7/21/2015 17:20,245
7/21/2015 17:40,246
7/21/2015 18:00,252
7/21/2015 18:10,211
7/21/2015 18:30,218
7/21/2015 19:00,150
7/22/2015 0:04,87
7/22/2015 0:14,96
7/22/2015 1:44,56
7/22/2015 2:24,116
7/22/2015 3:44,95
7/22/2015 3:54,87
7/22/2015 4:14,86
7/22/2015 4:24,32
7/22/2015 4:34,28
7/22/2015 4:44,29
7/22/2015 4:54,12
7/22/2015 5:04,12
7/22/2015 5:14,12
7/22/2015 9:04,147
7/22/2015 9:14,140
7/22/2015 14:43,161
7/22/2015 14:53,183
7/22/2015 15:03,224
7/22/2015 15:43,325
7/22/2015 16:23,288
7/22/2015 16:33,263
7/22/2015 16:53,320
7/22/2015 17:03,365
7/22/2015 17:13,331
