timestamp,cars
9/1/2015 11:30,13.56
9/1/2015 11:35,8.33
9/1/2015 11:40,11.78
9/1/2015 11:55,15.28
9/1/2015 12:00,10.06
9/1/2015 12:05,7.44
9/1/2015 12:10,8.11
9/1/2015 12:15,10.72
9/1/2015 12:20,11.83
9/1/2015 12:25,9.61
9/1/2015 12:30,10.22
9/1/2015 12:35,10.72
9/1/2015 12:45,10.28
9/1/2015 12:50,13.72
9/1/2015 12:55,7.39
9/1/2015 13:05,2.61
9/1/2015 13:10,7.33
9/1/2015 13:15,8.5
9/1/2015 13:20,10.56
9/1/2015 13:25,13.78
9/1/2015 13:35,7.78
9/1/2015 13:45,7.72
9/1/2015 13:50,10.11
9/1/2015 14:00,9.56
9/1/2015 14:05,14.94
9/1/2015 14:10,25.89
9/1/2015 14:15,10.17
9/1/2015 14:30,6.39
9/1/2015 14:35,12.89
9/1/2015 14:40,9.06
9/1/2015 14:50,11.67
9/1/2015 14:55,7.94
9/1/2015 15:00,8.17
9/1/2015 15:05,24.72
9/1/2015 15:10,9.06
9/1/2015 15:25,14.89
9/1/2015 15:30,8.28
9/1/2015 15:35,7.83
9/1/2015 15:40,12.28
9/1/2015 15:45,14.94
9/1/2015 15:55,14.39
9/1/2015 16:00,7.5
9/1/2015 16:05,11.5
9/1/2015 16:10,10
9/1/2015 16:15,8.83
9/1/2015 16:20,11.33
9/1/2015 16:25,11.17
9/1/2015 16:30,9.83
9/1/2015 16:40,7.67
9/1/2015 16:45,14.89
9/1/2015 16:55,7.28
9/1/2015 17:05,11.83
9/1/2015 17:10,13.72
9/1/2015 17:15,21.33
9/1/2015 17:20,21.61
9/1/2015 17:25,14.61
9/1/2015 17:35,15.28
9/1/2015 17:40,10.33
9/1/2015 17:45,7.61
9/1/2015 17:50,8.89
9/1/2015 17:55,10.72
9/1/2015 17:59,9.06
9/1/2015 18:10,14
9/1/2015 18:15,14.56
9/1/2015 18:20,8.06
9/1/2015 18:25,4.89
9/1/2015 18:30,7.72
9/1/2015 18:35,9.11
9/1/2015 18:45,6.89
9/1/2015 18:50,9.11
9/1/2015 19:20,8.33
9/1/2015 19:25,5.33
9/1/2015 19:35,6.11
9/1/2015 19:50,4.06
9/1/2015 20:00,7.06
9/1/2015 20:15,5.83
9/1/2015 20:35,8.67
9/1/2015 20:40,5.94
9/1/2015 20:50,3.39
9/1/2015 20:55,5.5
9/1/2015 21:00,9.11
9/1/2015 21:05,12.83
9/1/2015 21:10,6.11
9/1/2015 21:15,5.67
9/1/2015 21:20,6.17
9/1/2015 21:25,2.44
9/1/2015 21:30,4
9/1/2015 21:35,6.72
9/1/2015 21:59,1.44
9/1/2015 22:10,9
9/1/2015 22:20,1.06
9/1/2015 22:25,6.61
9/1/2015 22:40,4.61
9/1/2015 22:45,3.28
9/1/2015 22:50,1.83
9/1/2015 23:01,3.17
9/1/2015 23:05,5.17
9/1/2015 23:10,2.56
9/1/2015 23:15,4.17
9/1/2015 23:45,0.67
9/2/2015 0:05,0.61
9/2/2015 0:10,2.72
9/2/2015 0:30,2.39
9/2/2015 1:25,5.67
